City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Coihaique,CL,-45.5752,-72.0662,42.8,87,75,6.91,broken clouds
131,Surt,LY,31.2089,16.5887,61.52,79,94,10.33,overcast clouds
132,Udimskiy,RU,61.1417,45.9144,12.87,95,100,11.54,light snow
133,Dunedin,NZ,-45.8742,170.5036,55.0,64,34,14.0,scattered clouds
134,Georgetown,MY,5.4112,100.3354,81.0,78,20,4.61,few clouds
135,Rodrigues Alves,BR,-7.738,-72.6509,78.8,89,0,2.3,clear sky
136,Kristianstad,SE,56.0313,14.1524,35.6,64,20,12.66,few clouds
137,Tiksi,RU,71.6872,128.8694,-21.69,84,75,27.47,broken clouds
138,Dubai,AE,25.2582,55.3047,69.01,77,0,5.75,clear sky
139,Pak Phanang,TH,8.3511,100.202,75.2,94,20,7.14,few clouds
140,Geraldton,AU,-28.7667,114.6,73.4,88,93,8.05,overcast clouds
141,Tebingtinggi,ID,3.3285,99.1625,73.4,94,40,3.44,haze
142,Gabu,GW,12.2833,-14.2167,76.08,30,0,5.93,clear sky
143,Jiuquan,CN,39.7432,98.5174,38.62,58,0,3.27,clear sky
144,Sunrise Manor,US,36.2111,-115.0731,57.2,28,1,27.63,clear sky
145,Saskylakh,RU,71.9167,114.0833,-15.36,84,96,20.49,overcast clouds
146,Airai,TL,-8.9266,125.4092,66.99,97,99,0.56,overcast clouds
147,Baykit,RU,61.67,96.37,5.85,91,100,2.24,overcast clouds
148,Puerto Ayora,EC,-0.7393,-90.3518,78.01,94,40,8.01,moderate rain
149,Dalnerechensk,RU,45.9339,133.7225,25.45,95,4,4.41,clear sky
150,Iznoski,RU,54.9881,35.3108,-4.05,90,0,2.39,clear sky
151,Sibolga,ID,1.7427,98.7792,75.47,79,100,4.34,overcast clouds
152,Tilichiki,RU,60.4667,166.1,0.77,94,78,5.64,broken clouds
153,Broome,US,42.2506,-75.833,51.8,40,1,10.36,clear sky
154,Plettenberg Bay,ZA,-34.0527,23.3716,64.62,92,98,8.14,moderate rain
155,Olafsvik,IS,64.8945,-23.7142,27.18,90,100,21.12,overcast clouds
156,Grao Mogol,BR,-16.5594,-42.8897,67.86,94,100,0.67,light rain
157,Andros,GR,37.8333,24.9333,59.0,75,11,5.99,few clouds
158,Kavieng,PG,-2.5744,150.7967,84.7,62,98,5.44,overcast clouds
159,Coquimbo,CL,-29.9533,-71.3436,64.4,77,0,6.91,clear sky
160,Saldanha,ZA,-33.0117,17.9442,64.54,95,83,7.29,light rain
161,Dikson,RU,73.5069,80.5464,-9.09,90,100,22.88,overcast clouds
162,Severo-Kurilsk,RU,50.6789,156.125,31.6,98,100,32.37,snow
